dummy,Announced_Date,Target_Company,Target_Description,Target_City,Target_Website,Target_Sector,Target_Country,Bidder_Company,Bidder_Description,Bidder_Website,Bidder_Sector,Bidder_Country,Seller_Company,Seller_Description,Seller_Website,Seller_Sector,Seller_Country,Implied_Equity_Value_(m),Net_Debt_(m),Enterprise_Value_(m),Reported_Revenue_(m)_Y1,Reported_EBITDA_(m)_Y1,Reported_EBIT_(m)_Y1,Reported_Earnings_(m)_Y1,Reported_Revenue_Multiple_Y1,Reported_EBIT_Multiple_Y1,Reported_EBITDA_Multiple_Y1,Reported_PE_Multiple_Y1,Consideration,Deal_Description,Deal_Value_USD(m)
,12/12/23,Tianjin Lopsking Construction Technology Co Ltd (100% Stake),Manufacturer of metal window and door.,Tianjin,,Construction,China,Wanmashi Sports Technology Tianjin Co Ltd,Manufacturer of mobility scooter.,,Consumer: Retail,China,"ZYF Lopsking Material Technology Co., Ltd.",Aluminum doors and windows manufacturer.,http://www.lpsk.com.cn,Industrial products and services,China,5.5593,,5.5593,0.0942,,-0.3724,-0.3724,61.3538,,,,Cash (USD 5.5593),"Wanmashi Sports Technology Tianjin Co Ltd, the China based manufacturer of mobility scooter has acquired Tianjin Lopsking Construction Technology Co Ltd, the local manufacturer of metal window and door from ZYF Lopsking Aluminum Co Ltd, the local aluminum doors and windows manufacturer. The consideration was RMB 39.88m ($5.6m).",5.5593
,12/12/23,Oki Pharmacy Ltd (100% Stake),Pharmacies operator.,,https://www.oki-pharmacy.co.jp/,Consumer: Retail,Japan,Marine Group Holdings Co Ltd,Holding company for pharmacy operators.,https://www.marinegroup.jp/,"Consumer: Retail,Other",Japan,,,,,,,,,,,,,,,,,,"Marine Group Holdings Co Ltd, the Japan based holding company for pharmacy operators, has acquired Oki Pharmacy Ltd, the local pharmacy operator. The terms of the deal were undisclosed.",
,12/12/23,Terra Solar Philippines Inc (100% Stake),Company operating in Alternative energy.,,,Energy,Philippines,Solar Philippines; SP New Energy Corp,Asset-for-share swap by Solar Philippines with its subsidiary  Solar Philippines Nueva Ecija Corporation.; Solar company.,https://www.solarphilippines.ph/about-us/,Energy; Energy,Philippines,Prime Infrastructure Capital Inc,Infrastructure company focused on building clean- and renewable energy- related infrastructure assets.,https://primeinfra.ph/,Construction,Philippines,107.9218,,107.9218,,,,,,,,,Cash (USD 107.9218),"Solar Philippines Nueva Ecija Corp, the Philippines based operates as a renewable energy company, through its subsidiary SP New Energy Corp, the local solar company, has acquired Terra Solar Global, the local company operating in Alternative energy, from Prime Infrastructure Capital Inc, the local infrastructure company focused on building clean- and renewable energy- related infrastructure assets. The consideration was PHP 6bn ($107.92m).",107.9218
,12/12/23,Sinponet (Beijing) Technology Co Ltd (100% Stake),Producer of advertisement.,Beijing,http://www.perfect-cn.cn,Media,China,Zhiwen (Beijing) Technology Co Ltd,China based business support service provider.,,Services (other),China,Shenzhen Infinova Limited,"China-based SZSE-listed company headquartered in Shenzhen, Guangdong Province, is engaged in the research, development, design, production and distribution of electronic security products",http://www.infinova.com.cn,Industrial products and services,China,58.792,,58.792,,,,,,,,,Cash (USD 58.7920),"Zhiwen (Beijing) Technology Co Ltd, the China based business support service provider is to acquire Sinponet (Beijing) Technology Co Ltd, the local producer of advertisement from Shenzhen Infinova Ltd, the local manufacturer of security monitoring equipment. The consideration was RMB 421.75m ($58.77m).",58.792
,12/12/23,Honghua Financial Leasing (Shanghai) Co Ltd (100% Stake),"Financial leasing (direct lease, sale and leaseback), operating lease, factoring,  consulting services, etc.",Shanghai,,Financial Services,China,Dongfang Electric Corp Ltd,"Manufacturer of steam, hydraulic, nuclear, gas, solar and wind powered turbine generator set units, and provider of power projects contracting services.",http://www.dec-ltd.cn,"Energy,Industrial products and services",China,Honghua Group Limited,"China-based HKEx-listed company engaged in research, design, manufacture and sale of drilling rigs, drilling parts and services",http://www.hh-gltd.com,Energy,China,27.867,,27.867,1.7422,,,,,,,,Cash (USD 27.8670),"Dongfang Electric Corp Ltd, the China based manufacturer of steam, hydraulic, nuclear, gas, solar and wind powered turbine generator set units, and provider of power projects contracting services has acquired Honghua Financial Leasing (Shanghai) Co Ltd, the local financial leasing (direct lease, sale and leaseback), operating lease, factoring, consulting services, etc from Honghua Group Ltd, the local manufacturer of land drilling rigs, rig parts and components. The consideration was RMB199.05m ($27.75m).",27.867
,12/12/23,Dobu Mask Inc (47.6% Stake),Dental mask maker.,,https://www.dobumask.asia/,Medical,South Korea,Dobu Life Tech,South Korea-based  medical face mask maker,,Medical,South Korea,,,,,,16.2023,,16.2023,,,,,,,,,Cash (USD 7.7123),"Dobu Life Tech Co Ltd, the South Korea based surgical and industrial mask manufacturer, has agreed to acquire 7,828,907 newly issued shares, representing a 47.6% stake in DOBU MASK Inc, the listed South Korea-based dental mask maker. The consideration is KRW 10.13bn (USD 7.71m), based on 7,828,907 shares, valued at an offer price KRW 1,294 per share.",7.7123
,12/12/23,PT Chandra Daya Investasi (30% Stake),"Equity investment and management company engaged in restructuring, mergers and financing. City-level SOE.",Jakarta Pusat,,Financial Services,Indonesia,Electricity Generating Public Company Limited,Listed Thailand-based company engaged in the generation and distribution of electricity,http://www.egco.co.th/,Energy,Thailand,PT Chandra Asri Petrochemical Tbk,Manufacturer of petrochemicals.,https://www.chandra-asri.com/,"Chemicals and materials,Construction",Indonesia,646.6667,,646.6667,,,,,,,,,Cash (USD 194.0000),"Electricity Generating pcl - EGCO, the Thailand based electric generation company, has acquired 30% of PT Chandra Daya Investasi, the Indonesia based equity investment and management company engaged in restructuring, mergers and financing. City-level SOE, from PT Chandra Asri Petrochemical Tbk, the Indonesia based manufacturer of petrochemicals. The consideration was $194m.",194
,12/12/23,NGA Ltd,"Software-Computer, Traditional & Other. Software company engaged with developing next generation life application.",Tokyo,https://nga-x.com/,Computer software,Japan,Yunqi Partners; GOLDEN EGG Ventures Inc (Japan),"China-based venture capital firm engaged in investments in AI, big data, cloud computing, B2B, and Fin-tech fields.; Venture capital arm.",http://www.yunqi.vc,Financial Services; Financial Services,China,,,,,,,,,,,,,,,,,Cash (USD 4.1400),"NGA Ltd, the Japan based developer of next generation life applications, announced it has secured Y600m ($4.12m) in a pre-series A round financing led by Yunqi Partners and GOLDEN EGG Ventures (Japan).",4.14
,12/12/23,Blanc Co Ltd (Tokyo),Accommodation service operator.,Tokyo,https://blan-c.com/,Leisure,Japan,POD Capital Corp,Investment fund operator.,,Financial Services,Japan,,,,,,,,,,,,,,,,,Cash (USD 10.3500),"lanc Co Ltd (Tokyo), the Japan based accommodation service operator, announced it has placed some newly issued shares on POD Capital Corp, the Japan based investment fund operator, for Y1.5bn ($10.31m).",10.35
,12/12/23,Shinko Electric Industries Co Ltd (50.02% Stake),"Manufacturer of semiconductor packaging products, such as plastic laminate packages, lead frames, glass terminals, heat spreaders and ceramic electrostatic chucks.",,https://www.shinko.co.jp/,Computer: Semiconductors,Japan,Shinko Electric Industries Co Ltd,"Manufacturer of semiconductor packaging products, such as plastic laminate packages, lead frames, glass terminals, heat spreaders and ceramic electrostatic chucks.",https://www.shinko.co.jp/,"Chemicals and materials,Computer: Semiconductors",Japan,Fujitsu Limited,"Listed Japan-based company engaged in the development, manufacturing and sales of software, electric products, and electronic components, as well as the provision of IT system service and ICT system platforms",http://www.fujitsu.com/,"Computer: Hardware,Computer: Semiconductors,Computer services,Computer software,Industrial products and services,Services (other),Telecommunications: Hardware",Japan,3932.582,-480.7161,3451.8659,1570.8954,460.0421,249.4611,176.8465,2.1337,13.4362,7.2859,21.5912,Cash (USD 1967.1129),"12 Dec 23 - A consortium including JIC Capital Ltd, Dai Nippon Printing Co Ltd-DNP and Mitsui Chemicals Inc has been selected as the preferred bidder and entered into an agreement. The consortium will acquire 67,530,488 shares, or a 49.98% stake, in Shinko Electric Industries, through takeover bid at Y5,920 per share. The offer is subject to a minimum acceptance condition of at least 22,491,400 shares, or 16.65% stake. The consideration will be Y399.78bn ($2.75bn). JIC Capital aims to commence the Tender Offer around late Aug 2024. After the takeover bid, Shinko Electric Industries will repurchase 67,587,024 shares, or a 50% stake, from Fujitsu Ltd at Y4,218.1 per share. The deal value for the repurchase will be Y285.09bn ($1.96bn). On completion of the takeover bid and repurchase, Shinko Electric Industries will be owned as to 80% by JIC Capital, 15% by Dai Nippon Printing and 5% by Mitsui Chemicals. Board of Shinko Electric Industries approves and recommends the offer to the shareholders.",1967.1129
,12/12/23,"Nissan Motor Co., Ltd. (5.03% Stake)",Japan-based manufacturer of vehicles and automotive components,Kanagawa-ken,http://www.nissan-global.com,Automotive,Japan,"Nissan Motor Co., Ltd.",Japan-based manufacturer of vehicles and automotive components,http://www.nissan-global.com,"Automotive,Consumer: Retail",Japan,Renault SA,France-based automobile company,https://group.renault.com/,"Automotive,Consumer: Retail",France,16470.2436,39250.3395,55720.5831,80385.1997,15622.9126,12199.695,11505.5147,0.6731,4.435,3.4632,4.908,Cash (USD 827.6791),"Nissan Motor Co Ltd, the Japan based motor vehicle and engine manufacturer has announced to buyback 211,000,000 of it's own shares representing 5.02% stake from Renault SA, the France based car and truck manufacturer, also provider of sales financing, rental, maintenance and service contracts, for Y119.95bn ($821.62m) at Y568.5 per share, on Dec 13, 2023. 13 Dec 23 - Nissan Motor announced it has repurchased 211,000,000 shares for Y119.95bn ($821.62m). It will cancel all the shares acquired on Dec 15, 2023.",827.6791
,12/12/23,APA Investment Management Co Ltd (100% Stake),Asset management company.,Tokyo,,Financial Services,Japan,APA Holdings Co Ltd,"Japan-based holding company engaged in urban development, hotel management and real estate business.",https://www.apa.co.jp,"Leisure,Real Estate",Japan,"Ooedo Onsen Monogatari Hotels & Resorts Co., Ltd.","Japan-based company engaged in operation of hot spring facilities, hotels and theme parks",https://corporate.ooedoonsen.jp/,Leisure,Japan,,,,,,,,,,,,,"APA Holdings Co Ltd, the Japan based holding company engaged in urban development, hotel management, and real estate business, has agreed to acquire all shares in Ooedo Onsen Asset Management Co Ltd, the local asset management company, from Ooedo Onsen Monogatari Co Ltd, the local operator of hot spring facilities and hotels and a subsidiary of Ooedo Onsen Monogatari Hotels & Resorts Co Ltd. The terms of the deal were undisclosed. The deal will be completed on Dec 19, 2023.",
,12/12/23,Tianjin Jinchen Real Estate Development Co Ltd (100% Stake),Real estate developer.,Tianjin,,Real Estate,China,"Shanghai Zhaoyu Investment and Development Co., Ltd.",a China based investment firm,,Financial Services,China,Xiamen C&D Inc.,"China-based SHSE-listed company headquartered in Xiamen, Fujian Province, is engaged in operation of supply chains and development of real estate properties",http://www.chinacnd.com.cn,Other,China,6.062,,6.062,,,,,,,,,Cash (USD 6.0620),"Shanghai Zhaoyu Investment & Development Co Ltd, the China based investment firm is to acquire Tianjin Jinchen Real Estate Development Co Ltd, the local real estate developer from Xiamen C&D Inc, the local provider of supply chain service, also evolved in the real estate development business. The consideration was RMB 43.3m ($6m).",6.062
,12/12/23,Wuhan China Railway & Itop Logistics Co Ltd (53.6% Stake),China based logistics service company.,Wuhan,,Transportation,China,China Railway Materials Company Limited,Automotive and spare parts manufacturer and distributor.,https://www.crmsc.com.cn/,Automotive,China,China Railway Modern Logistics,logistics company,,Transportation,China,28.3082,,28.3082,75.0249,,3.7065,2.7603,0.3905,7.9047,,10.6143,Cash (USD 15.1732),"China Railway Materials Co Ltd, the China based automotive and spare parts manufacturer and distributor is to acquire 53.6% of Wuhan China Railway & Itop Logistics Co Ltd, the local china based logistics service company from China Railway Modern Logistics Technology Co Ltd, the local railway logistics company. The consideration was RMB 108.38m ($15.08m).",15.1732
,12/12/23,Zhuhai Wanda Commercial Management Group Co Ltd (38.83% Stake),Provider of commercial operation services including commercial management services and residential property management services.,,http://www.wandacm.com,Real Estate,China,PAG Asia Capital Ltd,"Hong Kong-based private equity firm and alternative investment manager of PAG (Pacific Alliance Group), targeting buyouts and structured transactions. The targeted industry sectors include but not limited to consumer retail, food and beverage, financial institutions, industrials and transportation, energy and resources and healthcare. Private Equity Firm.",https://www.pag.com/,Financial Services,Hong Kong (China),,,,,,23896.7343,,23896.7343,,,,,,,,,,"PAG, the Hong Kong (China) based alternative investment firm, and other existing and new investors, have agreed to reinvest in Zhuhai Wanda Commercial Management Group Co Ltd, the China based provider of commercial operation services including commercial management services and property management services, with the proceeds redeemed from Dalian Wanda Commercial Management Group Co Ltd in accordance with their earlier investment agreement. The terms of the deal were undisclosed. On completion of the new investment agreement, Dalian Wanda's shareholding will decrease to 40%, while PAG and the other investors will increase to 60%.",9279.1019
,12/12/23,Japan Wind Development Co Ltd (100% Stake),Wind power generation company. Renewable Energy: Wind.,Tokyo,http://www.jwd.co.jp,Energy,Japan,Infroneer Holdings Inc,"Infrastructure services company involved in construction of residential and industrial buildings, logistics facilities, civil engineering projects including road, bridges and tunnels, as well as renewable energy projects.",https://www.infroneer.com/,Construction,Japan,Bain Capital LP,"Investment holding company operating through its subsidiaries. The firm, which has more than USD 105bn in assets under management, makes private equity, public equity, venture capital, credit and real estate investments focused on four continents across multiple industries. Its private equity business, Bain Capital Private Equity has made more than 800 primary and add-on investments across key industry sectors, mostly in Consumer, Retail & Dining; Financial & Business Services; Healthcare; Industrial & Energy and Technology, Media & Telecom.",https://www.baincapital.com,Financial Services,USA,1401.39,,1401.39,,,,,,,,,Cash (USD 1401.3900),"Infroneer Holdings Inc, the Japan based holding company for construction companies, announced it will acquire all shares in Japan Wind Development Co Ltd, the local utility company engaged in generating and distributing wind electricity, from Bain Capital LP, the United States based investment holding company operating through its subsidiaries, for Y203.1bn ($1.39bn) at the end of Jan 2024. The transaction provides an exit strategy for Bain Capital LP.",1401.39
,12/12/23,Sharekhan Ltd (100% Stake),India-based provider of financial services including securities brokerage and investment advisory services to retail clients,Mumbai,http://www.sharekhan.com/,Financial Services,India,Mirae Asset Financial Group,"Financial investment management company, mainly engaged in asset management, securities brokerage, life insurance, and capital funding.",https://global.miraeasset.com/,Financial Services,South Korea,BNP Paribas SA,"Global banking group providing financial services in retail banking, corporate & investment banking and asset management. .",http://www.bnpparibas.com,"Financial Services,Real Estate",France,360,,360,,,,,,,,,Cash (USD 360.0000),"Mirae Asset Financial Group, the South Korea based financial investment management company, mainly engaged in asset management, securities brokerage, life insurance, and capital funding, has acquired Sharekhan Securities Ltd, the India based online brokerage, from BNP Paribas SA, the France based global banking group. The consideration was INR 30bn ($359.80m).",360
,12/12/23,GS ENTEC Corp,"Manufacturer of heat exchange, boiler, and pressure vessel.",,http://www.gsentec.com,Industrial products and services,South Korea,"Dominus Investment Co., Ltd.","South Korea-based private equity firm establised in 2011.
Dominus Investment set up 7 funds since inception with its AUM totaling to about KRW 1.3 trillion(USD 1.21bn), and it has successfully managed and exited ""NV Equity Fund I"".",http://www.dominusinvestment.com/,Financial Services,South Korea,,,,,,,,,,,,,,,,,,"GS ENTEC Corp, the South Korea based manufacturer of heat exchange, boiler, and pressure vessel is reportedly seeking buyers, based on news reported by ""Thebell"". The terms of the deal were undisclosed. 16 May 23 - Woori Private Equity Co Ltd, the South Korea based south Korea-based private equity firm engeged in buyout and expansion. Woori Private Equity is 100% owned by Woori Bank. It has Strong, experienced management teams, exclusive deal sourcing and reliability as a subsidiary of the largest and best financial group in Korea, and Simone Investment Managers Co Ltd Active, South Korea-based alternative investment firm engaged in private equity, real estate and hedging have been reportedly interested in acquiring an undisclosed stake in GS ENTEC Corp, the South Korea based manufacturer of heat exchange, boiler, and pressure vessel, based on news reported by ""Thebell"". The consideration is KRW 200bn. 14 June 23 - Simone Investment Managers Co Ltd Active, South Korea-based alternative investment firm engaged in private equity, real estate and hedging have been reportedly interested in acquiring an undisclosed stake in GS ENTEC Corp, the South Korea based manufacturer of heat exchange, boiler, and pressure vessel, based on news reported by ""Thebell"". The consideration is KRW 200bn. 12 Dec 23 - Dominus Investment Co Ltd, the South Korea based private equity firm established in 2011, has agreed to acquire an undisclosed stake in GS ENTEC Corp, the South Korea based manufacturer of heat exchange, boiler, and pressure vessel. The terms of the deal were undisclosed.",49.4837
,12/12/23,Shinko Electric Industries Co Ltd (49.98% Stake),"Manufacturer of semiconductor packaging products, such as plastic laminate packages, lead frames, glass terminals, heat spreaders and ceramic electrostatic chucks.",,https://www.shinko.co.jp/,Computer: Semiconductors,Japan,Dai Nippon Printing Co Ltd; Mitsui Chemicals Inc; JIC Capital Ltd,"Holding company with interest in smart printing, photo imaging, optical films for displays, precision devices and components, battery pouches for lithium-ion batteries,bulk pharmaceutical manufacturing and medical packaging, aseptic filling systems for PET bottles.; Manufacturer of petrochemicals including ethylene, propylene and other basic chemicals for food and healthcare industries.; Private equity firm.",http://www.dnp.co.jp; https://www.mitsuichemicals.com/; https://www.jiccapital.co.jp/,"Chemicals and materials,Computer services,Manufacturing (other); Chemicals and materials; Financial Services",Japan,,,,,,5519.2778,-480.7161,5038.5617,1570.8954,460.0421,249.4611,176.8465,3.1145,19.6123,10.6349,30.3027,Cash (USD 2758.4854),"Fujitsu Ltd, the Japan based manufacturing communication systems and electronic devices, and offering information technology and network solutions, announced it will sell 50.05% stake in Shinko Electric Industries Co Ltd, the local manufactures and markets advanced electronic materials, to an undisclosed acquiror. Details to be announced. 01 Jun 23 - According to Bloomberg, KKR, Bain Capital LP, Apollo Global Management Inc, Japan Investment Corp and Dai Nippon Printing Co Ltd are interested in the sale process of the business. 17 Oct 23 - According to Reuters, Mitsubishi Corporation is exploring the possibility of making a bid for Fujitsu’s 50% stake in Shinko Electric Industries. 12 Dec 23 - A consortium including JIC Capital Ltd, Dai Nippon Printing Co Ltd-DNP and Mitsui Chemicals Inc has been selected as the preferred bidder and entered into an agreement. The consortium will acquire 67,530,488 shares, or a 49.98% stake, in Shinko Electric Industries, through takeover bid at Y5,920 per share. The offer is subject to a minimum acceptance condition of at least 22,491,400 shares, or 16.65% stake. The consideration will be Y399.78bn ($2.75bn). JIC Capital aims to commence the Tender Offer around late Aug 2024. After the takeover bid, Shinko Electric Industries will repurchase 67,587,024 shares, or a 50% stake, from Fujitsu Ltd at Y4,218.1 per share. The deal value for the repurchase will be Y285.09bn ($1.96bn). On completion of the takeover bid and repurchase, Shinko Electric Industries will be owned as to 80% by JIC Capital, 15% by Dai Nippon Printing and 5% by Mitsui Chemicals. Board of Shinko Electric Industries approves and recommends the offer to the shareholders.",2758.4854
,11/12/23,SilkRoad Property Partners Ltd (100% Stake),"SilkRoad Property Partners is a boutique real estate investment manager with extensive institutional experience.

Through offices in Singapore and Hong Kong, SilkRoad provides real estate fund management services to investors seeking exposure to private equity real estate in Asia.

SilkRoad is currently the portfolio manager of a US$557 million real estate private equity fund that has invested in commercial property in Hong Kong, Singapore, Beijing and Shanghai. The SilkRoad team includes senior real estate professionals with an average of 17 years of real estate experience. The team has been working together successfully for many years, managing institutional capital in the real estate sector. The firm is structured as a partnership and is owned by senior management.",,http://www.silkroadpropertypartners.com,Financial Services,Singapore,HSBC Global Asset Management Ltd; HSBC Global Asset Management (Singapore) Ltd,"Based in Singapore, HSBC Global Asset Management (Singapore) Limited is an investment arm of HSBC Group. The firm operates as a subsidiary of HSBC Global Asset Management (UK) Limited and provides its services primarily to individuals, investment companies, pooled investment vehicles, corporations, and government entities. The firm manages equity, fixed income, and balanced mutual fund for its clients. It invests in the public equity and fixed income markets across the globe.",https://www.assetmanagement.hsbc.com,Financial Services; Financial Services,United Kingdom,,,,,,,,,,,,,,,,,,"HSBC Global Asset Management Ltd, the United Kingdom based company operating in Banking, through its subsidiary HSBC Global Asset Management (Singapore) Ltd, the Singapore based investment arm of HSBC Group, is to acquire SilkRoad Property Partners Ltd, the Singapore based a boutique real estate investment manager. The terms of the deal were undisclosed.",
,11/12/23,Property Portfolio (55 Elizabeth Street Brisbane property) (100% Stake),55 Elizabeth Street Brisbane property,,,Real Estate,Australia,Elanor Investors Group,"Australia-based company headquartered in Sydney, is engaged in real estate business",http://www.elanorinvestors.com/,"Financial Services,Real Estate",Australia,Hay Street Real Estate Netherlands BV,Investment company.,,Financial Services,Netherlands,112.8664,,112.8664,,,,,,,,,Cash (USD 112.8664),"Elanor Investors Group Ltd, the Australia based investment portfolio and fund management firm has acquired 55 Elizabeth Street Brisbane property from Hay Street Real Estate Netherlands BV, the Netherlands based investment company. The consideration was AUD 172m ($112.87M).",112.8664
,11/12/23,Humin Robotics,Semiconductor manufacturing machinery.,,,Computer: Semiconductors,South Korea,Korea Development Bank; Shinhan Venture Investment Co Ltd,"National development bank.; Established as an investment company of Doosan Group, one of the top ten conglomerates in Korea, Shinhan Venture Investment has grown into an alternative investment management firm backed by our dedicated professionals and differentiated value-enhancing know-how. The company focuses on earlier-stage venture capital investments and later-stage control investments opportunities derived from the latest megatrends such as aging population, disruptive technologies, IT convergence, alternative energy and etc.",https://www.kdb.co.kr/; http://www.shinhanvc.com,Financial Services; Financial Services,South Korea,,,,,,,,,,,,,,,,,,"Shinhan Venture Investment Co Ltd, the South Korea based investment company, and KDB have acquired an undisclosed stake in Humin Robotics, the South Korea based semiconductor manufacturing machinery. The terms of the deal were undisclosed.",16.6861
,11/12/23,HLI Trading Limited (100% Stake),Malaysian investment holding company and trader in securities,,,Financial Services,Malaysia,Hong Leong Group Malaysia; GuoLine Capital Limited,"Malaysia based Investments holding company with operations in Property, insurance, banking, manufacturing and distribution sectors.; Private investment holding company under the Kwek family behind Hong Leong Group",http://www.hongleong.com/,"Financial Services,Industrial products and services,Real Estate; Financial Services",Malaysia,Hong Leong Industries Berhad,"Listed Malaysia based company involved in manufacturing, assembling, testing and sale of integrated circuits, semiconductor devices, electronic components and lead frames",http://www.hli.com.my/,"Automotive,Computer: Semiconductors,Construction,Manufacturing (other)",Malaysia,7.77,,7.77,,,,,,,,,Cash (USD 7.7700),"Hong Leong Co (Malaysia) Bhd, the Malaysia based conglomerate involved in financial services, manufacturing, property, infrastructure development, has acquired HLI Trading Ltd, the Malaysia based investment holding company and trader in securities, through its subsidiary Guoline Capital Ltd, the Malaysia based an investment holding company, from Hong Leong Industries Bhd, the Malaysia based manufacturing arm of the Hong Leong Group. The consideration is USD 7.77m.",7.77
,11/12/23,OnSearch Pty Ltd,Platform to build and deploy AI apps & agents.,Sydney,https://relevance.ai,Computer software,Australia,Insight Venture Management LLC; Galileo Ventures; King River Capital Management Pty Ltd; Surge,"US-based tech-focused private equity and venture capital firm investing upto USD 200m in software, e-commerce, internet and data-services companies. The GP has refined its investment approach from Fund VII onwards to focus more on software related investments. 

It's latest fund Insight Partners XI is targeting to raise USD 7.25bn. The fund aims to make equity investments of between USD 10-150m and target a total of 65-75 investments. Insight Partners' 10th flagship fund Insight Venture Partners X, L.P. fund launched in 2017 with an aim to raise USD 5bn, hard-cap of USD 5.5bn. It held two interim closes, one in July 2017 at USD 3.6bn and in November 2017 at USD 4.6bn. The fund held final close in July 2018 at USD 6.3bn, exceeding its original target size. 

The firm was  founded in 1995 by Jeff Horing and Jerry Murdock. Since its inception, Insight Partners has raised more than USD 20bn of assets under management. In March 2019, Insight Venture Partners changed its name to Insight Partners.; Company operating in Venture Capital/Private Equity.; Australia-based venture capital firm backing high-growth software companies.; India-based accelerator program and venture capital firm part of Sequoia Capital India.",https://www.insightpartners.com/; https://www.kingriver.co; https://www.surgeahead.com/,Financial Services; Financial Services; Financial Services; Financial Services,Australia,,,,,,,,,,,,,,,,,Cash (USD 9.8430),"A consortium led by King River Capital Management Pty Ltd, the venture capital firm backing high-growth software companies has acquired an undisclosed stake in OnSearch Pty Ltd, the local platform to build and deploy AI apps & agents in a series A funding round. The consideration was AUD 15m ($9.84m)",9.843
,11/12/23,Syslabo Co Ltd (100% Stake),"Software-Computer, Traditional & Other. Software company engaged with developing system for semiconductor related companies.","Nagoya, Aichi",https://kk-syslabo.jp/,Computer software,Japan,"Totec Amenity Co., Ltd.; Totec Corporation",Japan-based company engaged in provision of IT solutions.; Japan-based company engaged in human resource consulting and management consulting,https://www.totec.jp/; https://www.totec-net.com,"Computer services,Computer software; Services (other)",Japan,,,,,,,,,,,,,,,,,,"TOTEC Corp, the Japan based temporary staff service provider, announced its subsidiary Totec Amenity Co Ltd, the local software services provider focuses on system design and related services including solution & technology outsourcing, has acquired all shares in Syslabo Co Ltd, the local developing system for semiconductor related companies, on Nov 10, 2023. The terms of the deal were undisclosed.",
,11/12/23,Pact Group Holdings Ltd (50% Stake),"Australia-based ASX-listed company that designs, manufactures, and supplies plastic and industrial metal packaging products like bottles, PET containers, trays, tubes, drums, pails, cans etc",Richmond,http://www.pactgroup.com.au/,Construction,Australia,Kin Group Pty Ltd; Bennamon Industries Pty Ltd,Investment holding company.; Investment holding company.,,"Financial Services,Manufacturing (other),Other; Financial Services",Australia,,,,,,189.7754,732.438,922.2134,1296.4022,173.5382,85.8723,-4.3943,0.7212,10.8883,5.3879,,Cash (USD 94.8877),"Kin Group Pty Ltd, the Australia based investment holding company is to acquire through its subsidiary Bennamon Industries Pty Ltd, the local investment holding company 50% of Pact Group Holdings Ltd, the local holding company engaged in supplying rigid plastics and metals packaging products. The consideration was AUD 144.60m (USD 94.89m). The deal comprises of revised offer of AUD 0.84 per share for the 50% shares being acquired.",827.3257
,11/12/23,Aiwell Inc,Research and developer of AI proteomics.,Tokyo,https://www.aiwelljapan.com/,Biotechnology,Japan,Contrail LLC,Investment firm.,https://contrailtokachi.jp/,Financial Services,Japan,,,,,,,,,,,,,,,,,,"Aiwell Inc, the Japan based research and developer of AI proteomics, announced it has intended to place some newly issued shares on Contrail LLC, the Japan based investment firm. The terms of the deal were undisclosed.",
,11/12/23,Kamata Co Ltd (100% Stake),Health supplement manufacturer.,"Shinagawa, Tokyo",https://kamata-jp.com/en/,Chemicals and materials,Japan,"Towa Pharmaceuticals Co., Ltd.; Sunsho Pharmaceutical Co., Ltd.",Listed Japanese pharmaceuticals company; Japan-based contract manufacturer of dietary health foods and cosmetics,http://www.towayakuhin.co.jp/english/; http://www.sunsho.co.jp,"Medical: Pharmaceuticals; Chemicals and materials,Consumer: Foods,Consumer: Other,Manufacturing (other)",Japan,,,,,,,,,,,,,,,,,,"Sunsho Pharmaceutical Co Ltd, the Japan based developer and OEM (original equipment manufacturing) of dietary health foods, formulations, quasi-drugs, cosmetics, general foods and miscellaneous goods, and a subsidiary of Towa Pharmaceutical Co Ltd, will acquire all shares in Kamata Co Ltd, the local health supplement manufacturer, on Jan 5, 2023. The terms of the deal were undisclosed.",
,11/12/23,Tokai Tokyo Asset Management Co Ltd (100% Stake),"Asset management and advisory firm focused on real estate under Tokai Tokyo Financial Group. The firm, founded in July 2005, provides real estate management strategy and fund management services for institutional and individual clients.",Tokyo,https://www.tfr.co.jp,Financial Services,Japan,Money Design Co Ltd,Software-Financial Technology company engaged with providing automated asset management system.,http://www.money-design.com/,"Computer software,Financial Services",Japan,Tokai Tokyo Financial Holdings Inc,Holding company for securities brokers and fund managers.,http://www.tokaitokyo-fh.jp/index.html,"Financial Services,Other",Japan,,,,,,,,,,,,,"Money Design Co Ltd, the Japan based providing automated asset management system, announced it will acquire all shares in Tokai Tokyo Asset Management Co Ltd, the local asset management and advisory firm, from Tokai Tokyo Financial Holdings Inc, the local holding company for securities brokers and fund managers, on Dec 29, 2023. The consideration is 21,565 class C preferred shares.",
,11/12/23,Lazada Group,Singapore-based online retailer of electronic products,Singapore,http://www.lazada.com/,Computer software,Singapore,Alibaba Group Holding Ltd,"Holding company with subsidiaries engaged in providing global e-commerce retail, local consumer services, logistics services, cloud-based service, digital media and entertainment.",http://www.alibaba.com,"Computer software,Internet / ecommerce,Media,Services (other)",China,,,,,,,,,,,,,,,,,Cash (USD 634.0000),"Alibaba Group Holding Ltd, the China based holding company with subsidiaries engaged in providing global e-commerce retail, local consumer services, logistics services, cloud-based service, digital media and entertainment has acquired an undisclosed stake in Lazada South East Asia Pte Ltd, the Singapore based software-E-Commerce company engaged in operating online shopping platform. The consideration was $634m.",634
